"idd","avgLL_T"
246,-8.61719232539258
247,-12.5211164281948
248,-10.7430199953885
249,-7.1036727247789
250,-4.68488669447936
251,-8.23359069772478
252,-10.9153224553092
253,-13.5120090659859
254,-6.8817102996678
255,-10.5085786033172
256,-8.99535958750034
257,-8.75347130111729
258,-12.321976308242
259,-14.1432814485037
260,-8.61789036744297
261,-8.08389319235174
262,-9.01719663801864
263,-12.943626626484
264,-12.158233367202
265,-11.9517480081748
266,-14.0474332556973
267,-10.0810678865377
268,-11.2098023924905
269,-7.58159773142027
270,-11.4834632852445
271,-8.18805284824643
272,-12.4206295603914
273,-12.410916622543
274,-12.4405521915173
275,-6.2372716374431
276,-11.6286348715604
277,-12.0201053135463
278,-13.1789002076501
279,-8.62474779960844
280,-15.1725562442663
281,-12.4116514350809
282,-8.15564527030109
283,-12.9950085094439
284,-11.2292521279529
285,-6.44804892412882
286,-12.8211381668937
287,-11.275098431053
288,-9.41999831715361
289,-9.75921294437782
290,-11.4372672530648
291,-12.7852746492529
292,-8.2744994158098
293,-7.58600430747041
294,-11.785906405227
295,-5.49090709044885
296,-7.25600800010714
297,-9.11685403930655
298,-9.74792472432154
299,-12.4544626324194
300,-11.1037219017584
301,-6.65620632611682
302,-5.92287877942357
303,-11.2589738197678
304,-6.67961610766759
305,-8.69978216266554
306,-10.7153121862188
307,-8.26478392765087
308,-7.10984581665397
309,-7.49304625254154
310,-12.8864763654697
311,-15.5166148861699
312,-12.6663012958293
313,-8.52740506657223
314,-7.51777827330193
315,-7.9826698274586
316,-8.32645757755133
317,-8.75732740761824
318,-5.31072911907921
319,-13.336690779354
320,-10.4512703301953
321,-8.19399101513861
322,-7.13091872877816
323,-12.7357871967533
324,-9.77353052624842
325,-14.340136407461
326,-9.4888919164724
327,-10.3185458338374
328,-13.689000488524
329,-8.43540771770858
330,-15.6801192056099
331,-10.9807804551617
332,-7.88208686908506
333,-6.78242808229417
334,-8.46139327941649
335,-8.88584556665736
336,-12.9997944280188
337,-13.6252398247432
338,-8.22731749629152
339,-6.72561896124135
340,-12.8210879669469
341,-10.4784463211258
342,-11.4467244204661
343,-13.5409186515801
344,-8.12652369790226
345,-12.8684749505872
346,-12.3381736988028
347,-14.9358041133394
348,-9.53561062276985
349,-7.21994589736403
350,-15.7150771161144
351,-8.58517586037721
352,-10.4260427526087
353,-13.4878245773537
354,-14.0586381994416
355,-8.70175804713643
356,-7.95521224620194
357,-13.6891874473065
358,-12.0160032750794
359,-14.1203066379083
360,-6.4327341135817
361,-12.8994878335956
362,-7.33424980471769
363,-4.66852627577297
364,-12.0185133261235
365,-8.91759231980211
366,-9.66395996484961
367,-10.8177095363892
368,-11.9532333845853
369,-9.95094984825576
370,-13.2283481030217
371,-11.5638759630217
372,-11.2496909249631
373,-10.7378940825081
374,-8.68338028211517
375,-11.0983114149447
376,-8.70258271044701
377,-7.76996162402783
378,-8.61518718832386
379,-9.92473867388712
380,-8.01052336672502
381,-10.1492432799762
382,-8.86451898437828
383,-8.73976687023984
384,-10.3140824229807
385,-14.3848659041432
386,-7.73945091164912
387,-9.24271910901102
388,-10.9217676158673
389,-8.21507022481833
390,-9.81203988965572
391,-6.09765572282216
392,-13.6813447573848
393,-12.0518237767891
394,-12.6231940345993
395,-10.0681077796584
396,-14.435529241914
397,-12.8005631279709
398,-15.5939268938879
399,-10.9975205300737
400,-8.16054185550894
401,-7.22583511994748
402,-14.0944831502966
403,-9.50398273724023
404,-5.13996164866675
405,-12.409575182257
406,-7.26830100976442
407,-11.552091515278
408,-11.602399029075
409,-8.40355653507374
410,-12.4991464165818
411,-8.91332175805574
412,-8.58014948835279
413,-13.8993174510561
414,-8.28299350183899
415,-13.0118510092963
416,-11.0867741171575
417,-9.22519728951669
418,-8.88753619581114
419,-7.93108494101802
420,-8.49926865510302
421,-11.0692175463023
422,-9.57216896243722
423,-7.82056298943915
424,-11.3783093648396
425,-7.81847103965871
426,-12.4110926032528
427,-7.14660565166137
428,-9.44308682149326
429,-7.43114695185938
430,-6.7861163224195
431,-6.72589994680207
432,-11.7252258383795
433,-10.7090911428897
434,-7.81814034245153
435,-13.0563567801383
436,-13.7352227491805
437,-11.2858071234358
438,-9.17296705035846
439,-13.8962789795497
440,-13.7827210951363
441,-8.2216095237474
442,-7.02530527048354
443,-10.1129948412025
444,-8.14857385144616
445,-12.3325650107161
446,-9.39946412440403
447,-11.1983921905718
448,-9.22688351010372
449,-9.59515501355279
450,-9.07593276868062
451,-15.4524539891713
452,-7.92289955489194
453,-7.3642435551086
454,-6.51699991597546
455,-11.34752547842
456,-10.981571473636
457,-7.15660139570997
458,-5.99794039362872
459,-11.1797726009801
460,-11.5288405741189
461,-10.5266190616668
462,-10.8587173635926
463,-11.5287030918474
464,-9.62681560241661
465,-6.9104006564626
466,-10.4452535180022
467,-11.2716379734873
468,-7.88137631693511
469,-12.0515504713971
470,-13.4250408401052
471,-9.29449022286895
472,-5.79780569019938
473,-9.78580881462549
474,-11.872451851669
475,-12.6534715226371
476,-12.3110535135337
477,-13.8084840895351
478,-11.937261803393
479,-11.767980961007
480,-5.78447666136522
481,-11.0437723166535
482,-11.08193644365
483,-12.1556951778729
484,-7.79975760249737
