"idd","avgLL_NLN"
435,-13.0925948823532
436,-14.062060135292
437,-10.7975434434315
438,-9.44320529554092
439,-13.8147398058254
440,-14.0985821634983
441,-8.20806604957403
442,-6.92934585219677
443,-10.0893795596194
444,-8.41125459102361
445,-12.4948510846215
446,-8.78459713372601
447,-11.3955179368386
448,-9.25269517145546
449,-9.79715305529088
450,-9.5310348224425
451,-15.4578923495077
452,-7.69761793884823
453,-7.14135764791893
454,-6.41593359335458
455,-11.6417296546244
456,-11.1595206990864
457,-7.12821627075291
458,-6.09259956396004
459,-11.0118881983479
460,-10.8231988772956
461,-10.3090570993746
462,-10.7115596922518
463,-11.5285937419933
464,-9.95261787459801
465,-7.19711429655163
466,-10.380149441285
467,-11.5758173841219
468,-8.70481848535526
469,-12.0560957409563
470,-12.9808547149985
471,-9.64024478057063
472,-5.74283139390273
473,-10.0300212901094
474,-11.6309547038463
475,-12.3809753960354
476,-12.191309071393
477,-14.0363099203629
478,-11.9589229918817
479,-11.618247608844
480,-5.69722585526346
481,-11.3696864647598
482,-11.4944760028234
483,-12.1514998717571
484,-7.66417040669014
485,-10.3037899348143
486,-7.64485327251978
487,-10.1201898867557
488,-8.95032023476795
489,-13.0444614446451
490,-6.22640086903068
491,-13.2118761813603
492,-7.82825913539848
493,-12.8105991303745
494,-8.34974127508911
495,-12.9786282654753
496,-9.00610764386641
497,-8.24691463037093
498,-12.599722050825
499,-11.414085938542
500,-9.61200768499492
501,-13.1046988887481
502,-11.2037513267762
503,-8.59900130662673
504,-10.1703397850895
505,-15.0098783929107
506,-10.3251405032338
507,-9.753964998783
508,-16.2495371925987
509,-10.8621718700169
510,-9.00627626704814
511,-11.8334696728355
512,-9.97346525419023
513,-8.11478846319838
514,-10.4451810553432
515,-10.9893166430602
516,-6.94420988617405
517,-13.823049540853
518,-10.0377698823399
519,-8.71158022482548
520,-12.6083804183276
521,-7.34660401556465
522,-14.6257760284266
523,-11.6300716771046
524,-8.76953614088749
525,-10.9794898348897
526,-12.0356561367858
527,-8.06295645463629
528,-11.6920178148093
529,-9.70077579907687
530,-6.99406709730658
531,-5.29351115173101
532,-6.78777043857823
533,-11.1217187858189
534,-9.61996890851601
535,-11.0334075568291
536,-9.32596628632159
537,-11.3367820793756
538,-9.93721568057294
539,-8.51711140377082
540,-11.3285057830847
541,-10.7811789201064
542,-9.47319950977708
543,-9.38351837451337
544,-7.64533267781383
545,-7.39737945050156
546,-5.87214229458264
547,-12.8303765103656
548,-11.6408798811076
549,-8.28455231617038
550,-12.2434431377164
551,-13.3747193853862
552,-10.1219577502496
553,-13.4830305552243
554,-8.16224685092543
555,-9.59165585234565
556,-12.7733369051479
557,-11.9067850802318
558,-13.5373078366495
559,-9.39325113841102
560,-11.4592216905132
561,-7.94847194206675
562,-12.7753733546594
563,-5.77774115180021
564,-11.3112640551275
565,-11.5735102332094
566,-16.9311005120604
567,-12.1883491796369
568,-6.71198388855247
569,-11.4928797289852
570,-10.221884692248
