"idd","avgLL_LU"
742,-10.5052449842088
743,-8.33990640688747
744,-12.4512624034723
745,-7.76442377883234
746,-14.3565034053216
747,-6.84933417794072
748,-13.4361423118992
749,-12.5778965892337
750,-11.2800334958825
751,-16.063687597101
752,-9.87190467393258
753,-12.3741533730317
754,-6.69527017754093
755,-8.65642830620133
756,-12.7598524602694
757,-15.2562455008273
758,-7.71606006888747
759,-11.9503136792986
760,-12.2639915339388
761,-16.0097665274692
762,-9.26980172032041
763,-12.5092365071998
764,-12.4164284405696
765,-8.62062307740031
766,-10.3892863479111
767,-8.56641887380395
768,-11.4620630366221
769,-13.6666914166741
770,-9.10916180599294
771,-10.7418474663793
772,-8.08238736943771
773,-12.2166541136389
774,-8.64871705732636
775,-10.1910711175257
776,-7.86117557302914
777,-15.1766352700652
778,-14.6156172241126
779,-7.98622840100388
780,-6.43260488983464
781,-12.7862882634335
782,-10.0141895767323
783,-9.38837376386124
784,-15.2435365936649
785,-6.36313391466786
786,-11.5787887431883
787,-10.3259755003002
788,-8.9648796056761
789,-10.0275589957459
790,-8.22193389677059
791,-9.36776441278024
792,-13.8722778182085
793,-8.1673909556337
794,-10.6911222258365
795,-10.0500370990857
796,-6.94605927399141
797,-8.16179210517522
798,-7.57708915559258
799,-16.0757976132749
800,-7.67659108235532
801,-11.9841956857114
802,-13.106798633114
803,-7.67277517486128
804,-14.4529507932343
805,-10.3772225202567
806,-12.1832467288976
807,-7.08952171849426
808,-10.5782164280285
809,-9.27301810279133
810,-5.74178563383924
811,-8.70513783593696
812,-12.3612569935773
813,-12.8660217107884
814,-10.0732785475147
815,-11.8413467164639
816,-8.43177618643874
817,-9.80090083889425
818,-11.3804512452457
819,-6.40995572718465
820,-11.7446752202627
821,-9.15922758854823
822,-11.8510038307174
823,-11.4825011960249
824,-8.06710478826156
825,-10.2312202217154
826,-15.108560421266
827,-8.42807420120244
828,-12.0554680044901
829,-13.598413406444
830,-10.4122038727496
831,-8.71775230239594
832,-7.69762332593289
833,-10.2068971286291
834,-9.48357052701369
835,-14.0293916429256
836,-12.5173818765053
837,-6.5610270054992
838,-12.921706494232
839,-11.8002457180465
840,-11.9300147744834
841,-8.88394642654761
842,-9.1534246671497
843,-11.7243459351312
844,-9.58885327308128
845,-10.5659766107058
846,-10.1497548366309
847,-9.28912206542733
848,-7.79474057114791
849,-13.6910545808121
850,-7.93720856090823
851,-6.82395690720049
852,-10.6087563608095
853,-14.8350806141773
854,-8.46504334399296
855,-9.30947531125873
856,-13.0131219080606
857,-8.46127250912118
858,-8.9534924202063
859,-11.5274551687643
860,-7.18336405475261
861,-12.0135409243667
862,-9.05084274477901
863,-13.9034364659982
864,-11.1337199755027
865,-13.1487259711033
866,-6.19641064024363
867,-7.93765846782045
868,-11.3706556264544
869,-13.4721915927831
870,-16.2445817276731
871,-10.3794630600047
872,-11.9365989756218
873,-11.2429048245647
874,-18.0019496876866
875,-7.93560673437288
876,-8.59667486788174
877,-7.05077478618924
878,-15.1987142473743
879,-7.97310346943259
880,-6.59116131363199
881,-8.64788158822689
882,-14.6050340625199
883,-13.0369297735522
884,-9.24895291329799
885,-8.14618947603035
886,-8.65258043115588
887,-12.7962761756843
888,-8.05112860309918
889,-12.2168002441565
890,-7.27545737125821
891,-5.77111241130735
892,-10.8969020163933
893,-11.9730833768029
894,-9.57970835435198
895,-7.37280314952359
896,-9.272556466696
897,-10.4340646943109
898,-11.2251463020783
899,-9.81913801717061
900,-11.6177017474548
901,-7.75164688466883
902,-8.22283372160361
903,-5.96274977292622
904,-6.88499362933665
905,-11.8626635019706
906,-13.3722834652943
907,-11.1065755399277
908,-7.48232090027484
909,-13.1567780476535
910,-9.40870142938727
911,-7.40658176754305
912,-12.6559244843915
913,-7.89492005849668
914,-13.8888323043567
915,-11.6062921708877
916,-11.009833984479
917,-9.95798043464801
918,-13.8828873544328
919,-10.8954491135501
920,-12.4820656940957
921,-6.99547494886851
922,-10.3033178559869
923,-9.13726468660435
924,-6.54942521150805
925,-13.885172080122
926,-8.87684375164999
927,-8.46736848336128
928,-10.1272675711573
929,-8.52429598920714
930,-9.82864614173315
931,-7.50606837895604
932,-6.53390950560254
933,-8.37452259067757
934,-7.79550779015977
935,-5.73805426827335
936,-9.97177178219042
937,-12.9990371156649
938,-7.10184105898749
939,-10.6011027632048
940,-6.11368551790339
941,-10.963991714153
942,-9.00937235147295
943,-12.7176572582359
944,-13.1543141419613
945,-12.0905635468561
946,-10.3829431720868
947,-12.7955014727862
948,-8.3074775046196
949,-12.1930948579709
950,-13.5461735361786
951,-9.07389108668234
952,-6.02733192415044
953,-8.5899759061417
954,-9.04907521261029
955,-11.0839906407398
956,-8.67609561202822
957,-7.27773422643612
958,-9.07421199759699
959,-9.9292190232445
960,-10.8955871114161
961,-12.5110443563911
962,-8.75585333629131
963,-11.6153782929367
964,-9.06191211839966
965,-9.27362051540363
966,-7.73548046818955
967,-11.3786135648081
968,-12.8524827170553
969,-7.57075361726639
970,-12.1355693439174
971,-11.6685003449146
972,-11.9440919327284
973,-10.4560816157389
974,-6.42153651272631
975,-11.0460053886934
976,-9.86676016132187
977,-16.187578017645
978,-9.34012766834285
979,-12.8713961489554
980,-15.667988268444
981,-9.14947934775797
982,-11.3786592958652
983,-9.55448632868011
984,-10.157268101549
985,-8.44092685313245
986,-8.02327678757836
987,-12.1271926620434
988,-13.2795540096773
989,-9.14237877438588
990,-13.2983005279366
991,-7.04600326569941
992,-7.49901458014733
993,-13.5200984566059
994,-10.621588069509
995,-8.68507049481694
996,-7.30499797384422
997,-12.5945333376093
998,-9.39293630355061
999,-13.3621859947915
1000,-9.25838044630682
