"idd","avgLL_FM2"
104,-4.98655214931693
105,-9.30896150130507
106,-10.3467335234039
107,-11.3186820737936
108,-11.3778727337796
109,-10.2673524365938
110,-8.74405217353362
111,-12.1140020057739
112,-10.7801113068742
113,-7.56136164368982
114,-9.59892937527872
115,-7.75621341400691
116,-8.19778943266676
117,-8.19644041154944
118,-10.3701912923802
119,-10.2604226779274
120,-11.6725276225686
121,-15.4000101416276
122,-6.68447567942053
123,-13.9660577836543
124,-8.35652337649289
125,-10.152156164497
126,-9.00672952971721
127,-7.60765760322972
128,-11.0961438991642
129,-10.9704569343602
130,-12.8765875702324
131,-10.5883008360868
132,-7.35819656703954
133,-13.2723654581772
134,-10.4189542903793
135,-11.4207903401018
136,-9.46049118245819
137,-8.64768118603394
138,-14.3083557349109
139,-5.66232415054379
140,-10.949312130775
141,-11.3689401625259
142,-13.7764754043362
143,-10.2520577410415
144,-14.8122202606417
145,-7.30822051257921
146,-6.47701047961859
147,-10.1709100154944
148,-7.46602081310638
149,-4.95091465275248
150,-11.9221494184712
151,-7.547324229092
152,-10.9410971467348
153,-12.4834027152038
154,-14.6003459406147
155,-8.83734919222768
156,-14.8595707816601
157,-14.4001034972776
158,-11.2958471884131
159,-16.4034311850201
160,-11.4527816284919
161,-9.30199555687538
162,-12.0242572129471
163,-13.0117867309727
164,-7.89512952862767
165,-12.0472736333692
166,-12.5923833083186
167,-9.16884316960708
168,-13.2739412827862
169,-11.360388369882
170,-10.4363081241838
171,-9.86525312655176
172,-10.6897243358648
173,-11.2285226545433
174,-11.5825610951986
175,-13.3806671333608
176,-8.32532426980952
177,-13.1851619415866
178,-6.66888037931089
179,-10.5735435832914
180,-11.9414411501114
181,-11.836203940984
182,-11.3716848312446
183,-4.26221350740082
184,-12.392835019996
185,-9.48698760809163
186,-8.37938734748493
187,-12.4800637194434
188,-15.6430275663247
189,-6.17454790032544
190,-8.82262649267181
191,-9.13488969527049
192,-8.36870107529614
193,-11.3349528883853
194,-9.02026016493882
195,-7.2299135667494
196,-11.5484547850304
197,-15.5762764826117
198,-10.2631036550424
199,-11.90724388941
200,-14.2549294940073
201,-12.3391620760393
202,-11.8607419942381
203,-12.9304169875972
204,-13.9363780658047
205,-12.4752395518934
206,-9.92553090031988
207,-11.3560205773446
208,-9.37490047900615
209,-7.79538525443169
210,-14.9473773694769
211,-8.74162599667375
212,-13.6978210388374
213,-15.7615268803673
214,-11.099814988087
215,-8.55701242040398
216,-5.97052795074749
217,-16.900410969038
218,-9.20807311569138
219,-9.49679945656102
220,-8.17026221960514
221,-10.2451932993257
222,-12.1913398001525
223,-12.8964085442571
224,-11.5482292677204
225,-8.66421591624961
226,-9.82198593511265
227,-18.0199483804533
228,-14.8877918519281
229,-13.1814388729493
230,-9.55056391038416
231,-8.497184056912
232,-17.0522945190813
233,-8.58025829738855
234,-12.2190148107459
235,-12.4467758656438
236,-11.1183346993089
237,-12.696697687834
238,-9.48743790081827
239,-14.4086349209662
240,-7.92146880304105
241,-13.4544345779248
242,-12.8207583313937
243,-9.83770762322447
244,-12.127351123672
245,-11.2027664939566
246,-9.11759806643461
247,-12.1974811548329
248,-10.9247206398219
249,-7.12091036261623
250,-4.54721444831851
251,-8.57193218677633
252,-10.8169166996494
253,-13.7176005101602
254,-6.74213145523208
255,-10.463642311266
256,-9.11200358812245
257,-8.71900432132261
258,-12.2669800507887
259,-14.1363316343596
260,-8.63709312816361
261,-8.59861269643654
262,-9.31244826933797
263,-12.4780263037518
264,-12.400022467793
265,-12.359562915606
266,-14.2376453854176
267,-9.95055921681377
268,-10.8772958597111
269,-7.66826680249587
270,-11.0999738487684
271,-8.19628992608549
272,-12.4595894397768
273,-12.4058339380106
274,-12.7905015946665
275,-6.14902035791086
276,-12.201119098792
277,-12.0771289108867
278,-12.6026073048812
279,-8.78472686157198
280,-15.0711917299992
281,-12.8150837639571
282,-7.78624019013917
283,-13.1414665023238
284,-11.2441013479203
285,-6.55384411702362
286,-12.9975754732236
287,-11.3179323044746
288,-9.30917463873965
289,-8.36368367104608
290,-11.6680058961342
291,-12.8392560434393
292,-8.3111875354572
293,-7.88096927054997
294,-11.4315971010065
295,-5.368449947025
296,-7.1893834023748
297,-9.41116453403797
298,-9.26705574202057
299,-12.7889479413442
300,-10.6092174262116
301,-6.70342563204014
302,-6.11782113150008
303,-12.0086857961037
304,-6.82615349053846
305,-8.67607898431186
306,-10.7402850442927
307,-8.44122180055061
308,-7.22313777217411
309,-7.70251237300589
310,-12.7921257660915
311,-15.4648330990165
312,-12.2530285922185
313,-8.61348851487403
314,-7.90865075868721
315,-7.91622684331792
316,-8.29392654203989
317,-8.54214433822822
318,-5.0483274354509
319,-13.0257785734161
320,-10.4349558794227
321,-7.93692873614848
322,-6.93127720482923
323,-12.4989806576632
324,-9.54521592015065
325,-14.3010624271662
326,-9.58131734810697
327,-10.4332232678946
328,-13.8888690018279
329,-8.19861683875271
330,-14.9345390850649
331,-10.8551351385258
332,-8.34872388428642
333,-6.81805850172139
334,-8.22168764029981
335,-9.08637329796487
336,-13.0864046913695
337,-13.5693599290008
338,-8.20769737873042
339,-6.39053788499125
340,-12.8071909266805
341,-10.581143068953
342,-12.012478814098
343,-13.2836012321598
344,-7.88276478826442
345,-12.6343797844952
346,-12.0636749513457
347,-15.0427394124686
348,-9.97263729497282
349,-7.22466148983988
350,-15.6881064540734
351,-8.16706871925564
352,-10.1237009527345
353,-12.5803291630015
354,-14.3331350794545
355,-9.25106341206026
356,-8.05678532376849
357,-13.2581353148016
358,-11.8393213995071
359,-13.7548102407661
360,-5.98821478358032
361,-12.8222226421275
362,-7.45392734233772
363,-4.28617886806273
364,-11.8233186212077
365,-8.53452836870527
366,-9.70334480391422
367,-10.7580045593203
368,-11.6744997216556
369,-10.0642439711514
370,-13.3220154813075
371,-11.1033312942164
372,-11.6080158568159
373,-11.180462981898
374,-8.68314217986884
375,-11.0767927109255
376,-8.66153003146407
377,-7.19926161801028
378,-8.88119749499709
379,-9.67445228363408
380,-8.29016442011688
381,-9.95259425853113
382,-8.84533910101111
383,-8.66107065736602
384,-10.4816599607461
385,-13.902139350392
386,-7.7188245657803
387,-9.69569965795635
388,-11.0160569450607
389,-8.00308761684946
390,-9.83942784513459
391,-6.18658902926577
392,-13.5107531860627
393,-12.0761090483943
394,-12.521100605044
395,-9.97907928913679
396,-14.3067787716376
397,-12.6584418495041
398,-15.8095300850938
399,-10.5157918111686
400,-8.34157664355132
401,-7.38162590434701
402,-13.9667797951225
403,-9.80760644203532
404,-4.65340631493678
405,-12.0877418500123
406,-6.45054384946071
407,-11.3458101335875
408,-11.7125279913096
409,-8.18234638303606
410,-12.9742235440483
411,-9.30247716650361
412,-8.70973270193832
413,-13.8783410562854
414,-8.38588873933672
415,-12.9032589608966
416,-11.2554273476748
417,-9.17391491929613
418,-8.82443771102946
419,-8.03755623086946
420,-8.88840063717853
421,-11.0980777662428
422,-9.27105396147472
423,-8.08381550216902
424,-11.3966950204772
425,-7.78000704032194
426,-12.6479914404666
427,-6.84016041476521
428,-10.108784213659
429,-7.6453859591412
430,-6.79544967018494
431,-6.73777190808395
432,-11.9455890188754
433,-10.3920412848207
434,-7.45919593849052
435,-12.9813950630656
436,-13.5743956150963
437,-11.2358030536044
438,-9.22160589109583
439,-14.0110071130865
440,-13.8892266967451
441,-7.97900760939849
442,-7.00042079830118
443,-9.79758040049903
444,-8.68683343703889
445,-12.1069457385064
446,-8.59713631834982
447,-11.5773690146162
448,-9.23663346897961
449,-9.67966205399272
450,-9.58415434875596
451,-15.3924611881133
452,-7.91544094590058
453,-7.31907811873177
454,-6.43746086217373
455,-11.4781648826517
456,-11.0426006177922
457,-6.98965525204268
458,-6.03848261785205
459,-11.2745052925177
460,-11.1597123297504
461,-10.5964694174446
462,-10.9293680295605
463,-11.7843749443036
464,-9.6166758219657
465,-7.40238691470795
466,-10.425238010031
467,-11.2977951080191
468,-8.31211292165954
469,-12.2300187996797
470,-13.6565281466764
471,-9.54921510202452
472,-5.83179846173975
473,-9.71230515847331
474,-11.8273968340586
475,-12.3332897425781
476,-12.020332106061
477,-14.3376353990142
478,-11.9549970347714
479,-11.3997379250207
480,-5.43803963770503
481,-11.2586423995724
482,-11.7211176621256
483,-12.5397714836126
484,-7.7993900716421
485,-9.72574878644881
486,-7.36860602696752
487,-10.0098147786652
488,-9.27862780525848
489,-13.4592067028228
490,-6.14423222533437
491,-12.2957959300123
492,-7.7219972566131
493,-12.6078610578899
494,-8.69430319003501
495,-12.5914158620109
496,-8.92231822262301
497,-8.10140434710905
498,-12.3525991893604
499,-11.6282760614105
500,-9.14790481945299
501,-13.3567573730352
502,-11.3758870683613
503,-8.63489583777252
504,-9.85759370268512
505,-14.7794857840988
506,-10.276082540267
507,-9.12923823079811
508,-16.2393235521081
509,-10.8564127656684
510,-9.05312260214361
511,-12.2882742608192
512,-10.4348313882306
513,-7.88909636433505
514,-11.0092602712466
515,-11.1003806929813
516,-6.91991227577537
517,-13.8176047144337
518,-10.1855243899209
519,-8.81209871226037
520,-12.6778815341518
521,-7.09392714360395
522,-14.7564519285668
523,-11.5496709592965
524,-8.42366069550905
525,-10.7220582612527
526,-11.9752023192631
527,-8.10661565753825
528,-11.6169990732179
529,-9.78597882418418
530,-6.74220287058624
531,-5.11084429157385
532,-6.59737456440966
533,-11.0720505648757
534,-9.53162853178323
535,-10.9835555646997
536,-9.5647967599097
537,-10.9528942561071
538,-9.33257079638705
539,-8.31712832141119
540,-11.7205448101026
541,-10.554095994267
542,-10.1654958758621
543,-9.38948234424197
544,-7.7623446952094
545,-7.30958456083342
546,-6.20012761815254
547,-12.9569628582004
548,-12.0169483804773
549,-8.5179810538075
550,-12.239993255289
551,-13.2407328898863
552,-10.0578666294548
553,-13.52509822395
554,-8.85152144340625
555,-9.84610025475136
556,-13.0372861114364
557,-12.2183764551738
558,-13.5601408065855
559,-9.45043122200429
560,-11.2957908430784
561,-7.84842158093711
562,-12.8137554593738
563,-5.8560601503633
564,-10.917540196599
565,-11.7646426210362
566,-17.254798206235
567,-12.08901005548
568,-6.71814228974146
569,-11.4498198436016
570,-10.1789677825727
571,-12.5755993046509
572,-6.40503642643796
573,-8.77752078231392
574,-14.3051927643077
575,-11.1764983072614
576,-5.30330973555654
577,-14.0087538218645
578,-10.4134631762884
579,-9.9950077352992
580,-14.131553200136
581,-8.95753654674831
582,-8.60955944454957
583,-14.3964698991883
584,-11.7345918115917
585,-8.05294558130929
586,-10.6116498346884
587,-9.01040184153316
588,-14.4023792178223
589,-11.3266995343373
590,-13.9494173912801
591,-11.9183431863081
592,-8.9660395872381
593,-8.68506407157922
594,-11.4308600058534
595,-13.4006886737082
596,-14.3584872235396
597,-13.3838675474789
598,-14.294325289886
599,-7.40322507990513
600,-14.7911367572376
601,-10.4386502348315
602,-12.4097196226819
603,-10.2947690618277
604,-8.85361089714222
605,-10.4619252710184
606,-9.73536375769638
607,-11.0028684203836
608,-10.7519534812835
609,-10.0604105807797
610,-8.22756215701152
611,-10.4481434712129
612,-6.05783879869631
613,-12.4511939776629
614,-9.16207716353602
615,-8.21882867219198
616,-6.4240185386261
617,-6.06184225003685
618,-10.7535447259033
619,-9.48883212307284
620,-10.3095138728007
621,-8.32258360508567
622,-8.42646741195287
623,-9.38894101224093
624,-13.1038967443308
625,-9.23168643811625
626,-10.1884987228385
627,-9.01283291169125
628,-8.41761713574755
629,-10.5438669827298
630,-11.7446021643058
631,-9.72619265904741
632,-13.3673518914773
633,-12.9287759129105
634,-5.13775524115809
635,-10.3227927185117
636,-8.01937888813621
637,-7.202191667128
638,-13.0432967160766
639,-10.2867649434439
640,-11.3046349515686
641,-10.1492612493351
642,-9.32492490052587
643,-12.9020061636901
644,-11.6520381067148
645,-11.60458260055
646,-8.93260749781079
647,-5.58085817966019
648,-10.9568174709497
649,-13.3548792391686
650,-14.2193953264493
651,-8.4807143248041
652,-6.98775566560589
653,-14.7354712576878
654,-10.4295446809009
655,-8.76238297377311
656,-8.73476091766946
657,-11.6594478255092
658,-12.6761288803926
659,-11.4580076666965
660,-11.5266603156117
661,-9.39170497282933
662,-10.3197706497866
663,-10.214450211173
664,-10.756594967851
665,-9.04423684128025
666,-6.53834031343942
667,-6.18872314441396
668,-7.60035526080375
669,-13.973870886964
670,-5.48616967342681
671,-13.8938768658383
672,-11.1594864011296
673,-10.934258580063
674,-8.97017003882859
675,-10.6359188610484
676,-7.80125482375419
677,-10.8958386789499
678,-13.2684248939039
679,-5.92152255171075
680,-12.5626011471564
681,-12.7914870967516
682,-7.21306661237102
683,-9.89947338329272
684,-10.6790957672136
685,-7.1250545189568
686,-11.0642905686013
687,-10.3913683212875
688,-13.2327314754118
689,-9.70283204624657
690,-7.99814778142776
691,-8.02481909058339
692,-12.1134536871495
693,-12.5352361156704
694,-10.2495233900298
695,-8.51113237805714
696,-12.3423744865342
697,-12.0339203810179
698,-6.82841649959036
699,-11.5340428901933
700,-12.0898891338611
701,-6.12654599303347
702,-11.4601563645844
703,-12.9060555249966
704,-8.53190941743149
705,-12.7800935655086
706,-10.4877108049358
707,-11.1140409991989
708,-11.7743560248374
709,-10.664721957633
710,-11.5076016830145
711,-11.1569041212101
712,-13.8275482275665
713,-8.12050583517108
714,-11.379004109926
715,-12.5754161973139
716,-8.65772322368339
717,-10.9141369396329
718,-10.3437976339518
719,-6.76565452062581
720,-10.905667187192
721,-12.9282308480287
722,-11.2140887617276
723,-8.64379178402132
724,-7.03504767905673
725,-10.8136667470927
726,-12.9962559921886
727,-7.28697005910164
728,-10.821925790847
729,-10.5869557136132
730,-9.21374167175998
731,-9.66948437408559
732,-7.21328777727742
733,-8.81754906600564
734,-8.83583922286437
735,-14.2621282310055
736,-10.7054530780481
737,-8.88735953013667
738,-9.71795617468959
739,-11.4887081661456
740,-13.1678467549447
741,-13.5123653978894
742,-10.5465772912786
743,-8.32568306690672
744,-12.7489931326958
745,-7.53259727507739
746,-13.5503073902024
747,-7.21003611341717
