"idd","avgLL_AT"
240,-7.99663235216223
241,-13.4736817171412
242,-12.7739939719058
243,-9.77070028926664
244,-12.218662443485
245,-11.2260415183531
246,-8.72687741437607
247,-12.3482171533532
248,-10.7653607000625
249,-7.03850663540959
250,-4.49527344855967
251,-8.06429416966365
252,-10.7935912824609
253,-13.757376332728
254,-6.93427952145536
255,-10.4926609371765
256,-9.04377939119744
257,-8.7522141430082
258,-12.4870278953249
259,-14.0351306803049
260,-8.75864276974513
261,-8.41996030823936
262,-9.10897934351398
263,-12.7175873429375
264,-12.3097892612632
265,-12.1517928058992
266,-14.152902168634
267,-9.87665524908125
268,-11.0060648833342
269,-7.5326842787585
270,-11.4117259628389
271,-8.30193785995713
272,-12.441658019827
273,-12.0957369127643
274,-12.7825106805842
275,-6.13505464055879
276,-11.8073343182469
277,-11.8302200979711
278,-12.8334169202493
279,-8.65152780156678
280,-15.0883336378681
281,-12.6741416966032
282,-8.11286172794589
283,-13.0433590343909
284,-11.0932164328261
285,-6.6794409037718
286,-12.9234606718813
287,-11.1213856633361
288,-9.41974115537928
289,-9.57165339929999
290,-11.3723974519377
291,-12.851799504211
292,-8.33197094775167
293,-7.89122805132383
294,-11.4448377279389
295,-5.67418252217547
296,-7.50766674240139
297,-9.41921947851273
298,-9.48776670571915
299,-12.2949435211607
300,-10.8576861837922
301,-6.64417561525471
302,-6.1649183591329
303,-11.9984327471877
304,-6.83133672666717
305,-8.73791748443078
306,-10.6259997853119
307,-8.38043888655659
308,-6.97899802688732
309,-7.48895676223833
310,-13.0334448992277
311,-15.786521287974
312,-12.375829151009
313,-8.57638568143396
314,-7.900316357367
315,-7.7750712852704
316,-8.31241649088184
317,-8.81256889219446
318,-5.2962869073111
319,-13.3714473630022
320,-10.4897749381886
321,-8.12259279779117
322,-7.09021875338098
323,-12.6677355575291
324,-9.61621279796105
325,-14.5686463581565
326,-9.43443544199894
327,-10.3680424911103
328,-13.921236458305
329,-8.38842057704569
330,-15.1389057287767
331,-10.9823485558958
332,-8.21691344141682
333,-6.67399179006389
334,-8.37699688629323
335,-8.98153485385187
336,-13.0953037475948
337,-13.5656289945201
338,-8.3831793321078
339,-6.68124180198506
340,-12.715325916268
341,-10.4443628999351
342,-11.5922761693692
343,-13.5381042569381
344,-8.16385117910885
345,-12.7852808460463
346,-12.2938816006247
347,-14.9570499681223
348,-9.50506050331126
349,-7.21634505434477
350,-15.9010067388209
351,-8.63534778368645
352,-10.3618108078289
353,-12.8199104393462
354,-14.1296681657822
355,-8.95586793106055
356,-7.81549000450452
357,-13.801056958316
358,-11.9129284811411
359,-13.923055224496
360,-6.32658912263346
361,-12.8694702681666
362,-7.30405821992044
363,-4.56273135153273
364,-12.1679229738859
365,-8.75724438705131
366,-9.5260189131407
367,-10.693639433361
368,-12.0430040084086
369,-10.3432007159175
370,-13.0977230546782
371,-10.6905172770468
372,-11.0157219783285
373,-10.642345779414
374,-8.67256268499062
375,-11.027598318778
376,-8.72394672058969
377,-7.57951231728929
378,-8.50415288659028
379,-9.85990914874613
380,-8.06376630250886
381,-10.0668580637702
382,-9.00080671787527
383,-8.68573217996016
384,-10.4691781428853
385,-14.0520215288883
386,-7.61288855266925
387,-9.43412448427509
388,-11.2567670028645
389,-8.35021768470723
390,-9.88512727636438
391,-6.05988377428153
392,-13.5376770515849
393,-12.0680352221624
394,-12.4745452511687
395,-10.2926998997908
396,-13.8764045287252
397,-12.7087022239099
398,-15.7205678359045
399,-10.7868218597904
400,-8.28215624829516
401,-7.42137078168441
402,-13.4673411372308
403,-9.78768673368053
404,-5.10996320985017
405,-12.4631847500275
406,-6.99420643445114
407,-11.2857714762019
408,-11.7066121982358
409,-7.57997021887014
410,-12.3964964819892
411,-9.10310937911445
412,-8.85141750447489
413,-14.0200041666929
414,-8.17436604036913
415,-12.9844093852967
416,-10.8515160520157
417,-9.08788098715628
418,-8.71188038105975
419,-8.13220404105873
420,-8.59560096314524
421,-11.1755363955728
422,-9.15513527299363
423,-7.67003715495458
424,-11.3058785880222
425,-7.87457464606236
426,-12.611266355296
427,-7.07547869162099
428,-9.85569227663254
429,-7.41694072913238
430,-6.47812182706789
431,-6.79351889839492
432,-11.9300060747472
433,-10.7154858444552
434,-7.05189510692078
435,-13.0844117453014
436,-13.0398151161513
437,-11.0446776466093
438,-9.50296061954998
439,-14.0913398841444
440,-14.1897913239724
441,-8.22684600122522
442,-6.85995148234904
443,-9.80013526402537
444,-8.07826816698495
445,-12.3064862659081
446,-8.79017000205859
447,-11.8537804670903
448,-9.25309581375276
449,-9.74291368231131
450,-9.47408895864969
451,-15.5282117718008
452,-7.81908411748252
453,-7.34900212153313
454,-6.41704404407347
455,-11.407452512217
456,-11.0154455108388
457,-7.02947395940644
458,-5.8855454366674
459,-11.4452649099819
460,-11.0938496763211
461,-10.1444028805437
462,-10.9048152982007
463,-11.7783316581988
464,-9.61055749816895
465,-6.84594638494768
466,-10.3951669773917
467,-11.2738649342807
468,-8.24428704994128
469,-12.07694011955
470,-12.8191970390937
471,-9.60737296409932
472,-5.92354775298853
473,-9.70606029357579
474,-11.7732322535116
475,-12.4595073569312
476,-12.2451750378738
477,-14.1240465194751
478,-11.9620807466755
479,-11.5563254720056
480,-5.57036457010434
481,-11.2168730257828
482,-11.0597493910646
483,-12.401215761439
484,-7.69529277156823
485,-10.0568805346141
486,-7.63400209706235
487,-9.7337695592062
488,-9.45461250915118
489,-13.1107770926313
490,-6.18019916160977
491,-12.4653617529615
492,-7.85959227850495
493,-12.6234231560334
494,-8.65268626718711
495,-13.1274422196709
496,-9.18453212506687
497,-8.09481336333704
498,-12.436902493527
499,-11.6609547786094
500,-9.41679610711528
501,-13.2024815916426
502,-11.3197292136969
503,-8.38520275642447
504,-10.0773229172827
505,-14.7417268644645
506,-10.2585797264626
507,-9.36808399724915
508,-16.241224772603
509,-10.4857032817175
510,-8.95308060423265
511,-12.1733748251656
512,-10.390355188358
513,-7.96566579493567
514,-10.8549595486369
515,-11.1970018129618
516,-6.93265687517266
517,-13.8230462290062
518,-10.0128176140724
519,-8.6297318421887
520,-12.4089256042104
521,-7.13592200352666
522,-14.2168406088911
523,-11.488122209643
524,-8.50465985785159
525,-10.9459986346333
526,-11.8584612686848
527,-7.82768595763343
528,-11.8940487329405
529,-9.56971809603372
530,-6.98977575323504
531,-5.14911440048871
532,-6.64607456237908
533,-11.220535761899
534,-9.63056447520036
535,-10.8997460341941
536,-9.3938608828616
537,-11.3610434899403
538,-9.75914043009893
539,-8.50281206049928
540,-11.7445508109185
541,-10.7730901942141
542,-9.68956917661553
543,-9.48404346119316
544,-7.55467185862329
545,-7.3184610093933
546,-6.09591744160452
547,-12.4734307665993
548,-11.6517725165543
549,-8.11414079791396
550,-12.5547871263535
551,-13.534151809086
552,-10.102696909895
553,-13.591196913088
554,-7.78438100099773
555,-9.76211330176956
556,-13.02087729337
557,-11.6999042051759
558,-13.5828821273999
559,-9.36695433403538
560,-10.9018258820991
561,-7.85512242824429
562,-12.7187871971814
563,-5.85419426578953
564,-11.0599135862561
565,-11.8167673550701
566,-17.1633422914754
567,-12.2252066760262
568,-6.69830085183236
569,-11.2593610057506
570,-10.1283647821573
571,-12.6397625976796
572,-6.2035117605057
573,-8.26720315482273
574,-14.438176555794
575,-11.5918586505422
576,-5.27972847407334
577,-14.0075833419774
578,-10.5603449886243
579,-9.96423160288208
580,-14.5002496174833
581,-9.01557295390299
582,-8.44631460832587
583,-13.1895598066981
584,-11.771107144806
585,-8.05329780161174
586,-10.7442625799588
587,-8.66249462809158
588,-14.3496787782424
589,-11.4592678393087
590,-14.2594676936815
591,-12.0703255653628
592,-9.0674892392715
593,-8.92676190974228
594,-11.4008979399687
595,-13.5459479312544
596,-14.487580036294
597,-13.745453332185
598,-13.8672312771495
599,-7.656806712764
600,-14.8102303740172
601,-10.3382289844783
602,-12.6190481008453
603,-10.452301547745
604,-8.82327610329583
605,-10.6064502227435
606,-10.0002307456888
607,-10.8528891648737
608,-10.6938950421345
609,-9.78841387231587
610,-8.45505174036236
611,-10.6352617470587
612,-6.24320593517013
613,-12.5507411994525
614,-8.88960350723178
615,-8.5469988566033
616,-6.4332329803748
617,-5.89974964385355
618,-10.6749721880452
619,-9.50198008092168
620,-9.76559331409583
621,-8.31275019514115
622,-8.43318584994412
623,-9.19552615667156
624,-13.2633318294891
625,-9.08776695146779
626,-9.83345133387401
627,-9.04700209080159
628,-8.31424807236805
629,-10.4178622778108
630,-11.4641037682846
631,-9.90144830854399
632,-13.4105069677545
633,-12.9472666044483
634,-5.06835583085647
635,-10.2865108664146
636,-8.37240355451025
637,-7.37926593551993
638,-12.5726717158457
